text,group
I have professional autonomy in my job so I’m able to decide where I would like to focus in terms of professional development,Unassigned
Meant to say very true. I can focus and learn about a specific topic if I wish,Unassigned
I direct the company and can choose to develop new products etc — so I can develop my own abilities across broad swathes of the organization.,Unassigned
I learn new things and  skills counselling people each time,Unassigned
I have learning opportunities all the time that I can take part in that directly enhance my skills,Unassigned
Trouver des recette,Unassigned
On a toujours l'opportunité d'augmenter nos connaissances,Unassigned
I get to read and research on a number of leading edge environmental and sustainability-related topics,Unassigned
Learning new trends will help the business,Unassigned
"I am a psychotherapist by trade but the hospital only hires social workers. I came to Canada from the USA with a Master's Degree back in the 90's. The profession was unregulated here, unlike in the state I was from.  This meant that I had to scramble and take whatever job I could.  Eventually, I landed my role and hung on.  I do plan to open my own private practice soon.  I am with the new College of Psychotherapists in Ontario.",Unassigned
I am physically disabled and learning skills that can assist me to work i the virtual world.,Unassigned
There are laws I have to follow but I can be creative how I work too,Unassigned
Not many opportunities to develop abilities.,Unassigned
Thar opportunity comes and goes. Right now it's harder,Unassigned
"My job is a 'constant learning' occupation, & I learn new skills from various trades who attend my jobsites.",Unassigned
I can try different approaches,Unassigned
I don't think I have the opportunity to use many of my abilities,Unassigned
"I’m often given the opportunity to test new approaches to how my job is done. If I think something makes sense to change, I’m free to implement it and find out for myself.",Unassigned
"Job changes all the time and I get to learn new roles, techniques and industry advancements",Unassigned
"As a science teacher, there are certain experiments and equipment that I could order and familiarize myself with that allow me to teach science more effectively and give students different experiences.",Unassigned
Travail très routinier,Unassigned
Don't understand what special abilities are lol,Unassigned
There are a lot of aspects involved in network security. I have the opportunity to become more specialized in any of the these.,Unassigned
The job gives me chances to get things done that are outside my usual skill set.,Unassigned
"I am an empathetic leader, and I am constantly working on and developing these skills to better support my growing team of direct reports.",Unassigned
"I was able to apply my experience from back home  on my current work, to simplify some process, giving new ideas par example",Unassigned
I am allowed to use creativity and initiative in my daily work,Unassigned
I still don’t a boss,Unassigned
My work is repetitive,Unassigned
I often have to fill in the gap for others rather than focusing on what I like to do,Unassigned
We are offered courses occasionally,Unassigned
Rules are rules and not everyone can influence change,Unassigned
"I get to choose which shows we commission, this requires that i continually hone my skills",Unassigned
My strength is problem solving. Im often needed to resolve unique situations.,Unassigned
The job description is very set in stone. I must deviate from it outside of work time.,Unassigned
I have the freedom to explore softwares and processes to achieve the end goals.,Unassigned
Our company is always adopting new technology so it helps to learn new stuff,Unassigned
I have a lot of autonomy in my job,Unassigned
Learning and professional development is par on course,Unassigned
There's no promotions,Unassigned
"I’m currently moving into a supervisor role, which means I’ll lead to hone new skills in order to learn how to lead a group underneath me.",Unassigned
I have opportunities on occasion depending on the project but not always,Unassigned
As long as I get my tasks done on time I can hone my operation skill,Unassigned
"It is up to me to develop my abilities, the work doesn’t encourage me to do that by its nature though",Unassigned
Can develop my skills as a clinician,Unassigned
"When working with people who are ill or have dementia, it is important for me to be creative. I use my creativity to work with them when their behaviours are difficult",Unassigned
"The tasks for my work are laid out by our clients _x000D_
How I carry out the tasks are monitored by the retailer",Unassigned
My company is supportive in my pursuit of my skills on the job. They have paid a lot for training and continue to help me develop,Unassigned
I am continuously developing my research skills and quantitive analysis skills at my job,Unassigned
"I deal with different dogs all the time and some are more challenging _x000D_
I have a rescue dog I just started with and it's taking quite a while to earn her trust",Unassigned
It has to be aligned with my job or I won't be able to do it.,Unassigned
Got no chance,Unassigned
I work alone so i learn what i need to,Unassigned
The are lots of online courses available but you have to find the time to do it and its hard to justify when you know a lot of work needs to be done before the end of the year,Unassigned
They expect you to do the job as they tell you,Unassigned
"Trainings provided, $3000 yearly subsidization at work for education",Unassigned
Not much in the way of continuous learning.,Unassigned
My duties are set,Unassigned
Few time is given to take advantage of the few resources made available by my employer,Unassigned
I can transfer to do other jobs that require more brain work,Unassigned
Sane repetitive work every day,Unassigned
No choices to do things a different way,Unassigned
Most of what I do doesn't change . There could be improvement in sales techniques,Unassigned
Photography is a constantly changing  profession requiring adaptation and increasing skills,Unassigned
I can directly influence the technological tools and further niche knowledge.,Unassigned
I'm given the liberty to find process improvements.,Unassigned
I have the same opportunities to develop the same skills as others. Nothing specialized towards me.,Unassigned
I have the ability to learn about new topics daily and conduct my own research.,Unassigned
I do documente review and data entry. Beyond that none of my ‘abilities’ are ‘developed’.,Unassigned
Always challenging new work,Unassigned
"There are some opportunities, but I feel very limited. Some excuses are that we have limited resources, such as a budget for new technology.",Unassigned
there is no way to develop special skills in retail,Unassigned
There’s no more growth at my company,Unassigned
Gestion,Unassigned
Service lines and SME,Unassigned
I have a terrible manager,Unassigned
I have ability to analyze and that’s what my job requires me to do,Unassigned
My job allows me time for my own professional development.,Unassigned
"I am self employed, and I need to always be learning and developing new skills to be relevant.",Unassigned
I have become a subject matter expert,Unassigned
"With each procedure and with experience, one develops a systematic way of diagnosing and tackling clinical problems. Eg. After 25 years of experience, I can tell right away what the issue is and how to treat the patient as well as present treatment options.",Unassigned
"I have learned and honed skills in roofing, and trimming",Unassigned
I can research and improve my knowledge,Unassigned
