panelistid,variable,group
,abilities_open,Unassigned
12593346.0,abilities_open,Unassigned
12554604.0,abilities_open,Unassigned
12524924.0,abilities_open,Unassigned
12554141.0,abilities_open,Unassigned
12600902.0,abilities_open,Unassigned
12523408.0,abilities_open,Helping Others
12523544.0,abilities_open,Unassigned
12524246.0,abilities_open,Unassigned
12525199.0,abilities_open,Unassigned
12525401.0,abilities_open,Unassigned
12525419.0,abilities_open,Unassigned
12525772.0,abilities_open,Unassigned
12527084.0,abilities_open,Unassigned
12527270.0,abilities_open,Unassigned
12536981.0,abilities_open,Unassigned
12537277.0,abilities_open,Unassigned
12537474.0,abilities_open,Unassigned
12537900.0,abilities_open,Unassigned
12539903.0,abilities_open,Unassigned
12540293.0,abilities_open,Unassigned
12542630.0,abilities_open,Unassigned
12542673.0,abilities_open,Unassigned
12542934.0,abilities_open,Unassigned
12543093.0,abilities_open,Unassigned
12544094.0,abilities_open,Unassigned
12544442.0,abilities_open,Unassigned
12548678.0,abilities_open,Unassigned
12549822.0,abilities_open,Unassigned
12550304.0,abilities_open,Unassigned
12550693.0,abilities_open,Unassigned
12553811.0,abilities_open,Unassigned
12553814.0,abilities_open,Unassigned
12553818.0,abilities_open,Unassigned
12553819.0,abilities_open,Unassigned
12553820.0,abilities_open,Unassigned
12553837.0,abilities_open,Unassigned
12553911.0,abilities_open,Unassigned
12553949.0,abilities_open,Unassigned
12553956.0,abilities_open,Unassigned
12553972.0,abilities_open,Unassigned
12554021.0,abilities_open,Unassigned
12554026.0,abilities_open,Unassigned
12554031.0,abilities_open,Unassigned
12554043.0,abilities_open,Unassigned
12554057.0,abilities_open,Unassigned
12554066.0,abilities_open,Unassigned
12554067.0,abilities_open,Unassigned
12554077.0,abilities_open,Unassigned
12554090.0,abilities_open,Unassigned
12554138.0,abilities_open,Unassigned
12554152.0,abilities_open,Unassigned
12554192.0,abilities_open,Unassigned
12554195.0,abilities_open,Unassigned
12554200.0,abilities_open,Unassigned
12554210.0,abilities_open,Unassigned
12554237.0,abilities_open,Unassigned
12554299.0,abilities_open,Unassigned
12554302.0,abilities_open,Unassigned
12554312.0,abilities_open,Unassigned
12554465.0,abilities_open,Unassigned
12554558.0,abilities_open,Unassigned
12554569.0,abilities_open,Unassigned
12554620.0,abilities_open,Unassigned
12554680.0,abilities_open,Unassigned
12554727.0,abilities_open,Unassigned
12554732.0,abilities_open,Unassigned
12554797.0,abilities_open,Unassigned
12554864.0,abilities_open,Unassigned
12554893.0,abilities_open,Unassigned
12554916.0,abilities_open,Unassigned
12554956.0,abilities_open,Unassigned
12554968.0,abilities_open,Unassigned
12555147.0,abilities_open,Unassigned
12555211.0,abilities_open,Unassigned
12555216.0,abilities_open,Unassigned
12555255.0,abilities_open,Unassigned
12555301.0,abilities_open,Unassigned
12555469.0,abilities_open,Unassigned
12555517.0,abilities_open,Unassigned
12555576.0,abilities_open,Unassigned
12555639.0,abilities_open,Unassigned
12555648.0,abilities_open,Unassigned
12555778.0,abilities_open,Unassigned
12555936.0,abilities_open,Unassigned
12556024.0,abilities_open,Unassigned
12556057.0,abilities_open,Unassigned
12556078.0,abilities_open,Unassigned
12556133.0,abilities_open,Unassigned
12556173.0,abilities_open,Unassigned
12556261.0,abilities_open,Unassigned
12556290.0,abilities_open,Unassigned
